Orange County, California, Average Temperature, May-April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
190104,61.4,-0.9
190204,61.9,-0.4
190304,60.6,-1.7
190404,61.7,-0.6
190504,63.5,1.2
190604,61.4,-0.9
190704,61.9,-0.4
190804,61.5,-0.8
190904,60.4,-1.9
191004,60.9,-1.4
191104,61.8,-0.5
191204,60.1,-2.2
191304,59.9,-2.4
191404,62.1,-0.2
191504,61.3,-1.0
191604,61.7,-0.6
191704,58.7,-3.6
191804,62.4,0.1
191904,61.7,-0.6
192004,61.1,-1.2
192104,60.6,-1.7
192204,60.8,-1.5
192304,62.0,-0.3
192404,61.7,-0.6
192504,61.2,-1.1
192604,62.9,0.6
192704,61.9,-0.4
192804,62.2,-0.1
192904,60.9,-1.4
193004,63.9,1.6
193104,63.1,0.8
193204,62.6,0.3
193304,61.1,-1.2
193404,62.5,0.2
193504,62.2,-0.1
193604,61.9,-0.4
193704,62.0,-0.3
193804,62.9,0.6
193904,61.5,-0.8
194004,63.9,1.6
194104,63.0,0.7
194204,61.8,-0.5
194304,62.5,0.2
194404,61.8,-0.5
194504,60.7,-1.6
194604,61.9,-0.4
194704,62.2,-0.1
194804,61.8,-0.5
194904,59.6,-2.7
195004,61.7,-0.6
195104,61.8,-0.5
195204,60.9,-1.4
195304,61.7,-0.6
195404,62.0,-0.3
195504,61.6,-0.7
195604,61.1,-1.2
195704,62.6,0.3
195804,62.9,0.6
195904,64.4,2.1
196004,63.8,1.5
196104,63.3,1.0
196204,61.8,-0.5
196304,61.8,-0.5
196404,62.6,0.3
196504,61.8,-0.5
196604,61.8,-0.5
196704,62.6,0.3
196804,63.8,1.5
196904,62.2,-0.1
197004,62.9,0.6
197104,62.3,0.0
197204,62.1,-0.2
197304,62.2,-0.1
197404,61.8,-0.5
197504,61.8,-0.5
197604,61.7,-0.6
197704,63.8,1.5
197804,63.4,1.1
197904,62.6,0.3
198004,64.1,1.8
198104,63.7,1.4
198204,63.9,1.6
198304,62.8,0.5
198404,64.6,2.3
198504,63.8,1.5
198604,63.8,1.5
198704,63.0,0.7
198804,63.5,1.2
198904,63.1,0.8
199004,63.4,1.1
199104,64.2,1.9
199204,63.9,1.6
199304,64.5,2.2
199404,64.0,1.7
199504,63.4,1.1
199604,64.2,1.9
199704,64.6,2.3
199804,64.4,2.1
199904,62.7,0.4
200004,63.9,1.6
200104,63.2,0.9
200204,63.8,1.5
200304,63.8,1.5
200404,64.4,2.1
200504,63.8,1.5
200604,63.7,1.4
200704,65.2,2.9
200804,64.2,1.9
200904,65.2,2.9
201004,64.7,2.4
201104,63.1,0.8
201204,63.5,1.2
201304,64.6,2.3
201404,65.6,3.3
201504,67.6,5.3
201604,66.3,4.0
201704,65.5,3.2
201804,66.5,4.2
201904,64.8,2.5
202004,64.3,2.0
202104,65.9,3.6
